order_id,delivery_date,shop_name,amount
33319,44562,Aloha Art,20.55
85406,44593,Party Plex,"44,5"
58727,44562,Acorn Crafts,43.14
85406,44652,GameDay Catering,"15,97"
85406,44593,Swap Shop,"19,84"
85406,44593,Aloha Art,15.18
11987,44621,Acorn Crafts,43.9
84982,44682,Castaway Shop,19.18
65938,44682,Swap Shop,27.82
24122,44621,GameDay Catering,28.41
72760,44682,Party Plex,48.27
12144,44652,Pizza Factor,28.06
21679,44682,Swap Shop,12.47
60170,44562,Pizza Factor,"19,12"
82511,44652,Radiance Boutique,20.96
27729,44562,Swap Shop,18.2
30279,44593,Acorn Crafts,46.83
16518,44682,Radiance Boutique,10.52
27687,44593,Swap Shop,38.34
11362,44562,Pizza Factor,29.66
58402,44593,Castaway Shop,39.9
40299,44593,Radiance Boutique,13.46
90736,44682,Aloha Art,"12,83"
86051,44621,Pizza Factor,"29,38"
87213,44621,Radiance Boutique,"41,77"
91717,44682,GameDay Catering,23.73
63029,44621,GameDay Catering,25.12
70518,44593,Castaway Shop,"34,96"
53802,44652,Castaway Shop,46.16
86083,44621,Aloha Art,16.8
86643,44562,Castaway Shop,"31,09"
